Signature(SHA256),Analysis Time(seconds),Node Processing Time(seconds), Order |V|, Size (|E|)
4b06b45905fb678c9b783c49b9c1a90d714d762fb930547de8f7d13276eb31a5,33.19,1.91,11523,17241
4b601c956b9c31ecebd214127ffd87a8d2b0ad0ed7ec58e3e2e489760865e389,32.38,2.29,11523,17241
4cda6af63873eca99b9a0b69be1c8b9c81b501339f569a30fd30394fa54da3e1,55.93,8.16,62067,94466
4d5ecf3d1955458195771630f03f6ef42f5f62e66ed8e0681f8311d25aecc2bb,505.54,2.53,14621,23186
4dd08b0bab6f19d143cca6f96c8b780da7f60dbf74f1c16c3442bc9f07d38030,40.07,0.02,3,2
4f16317dba9b983bf494892dcd227c0795f3809303e3b2787bf0a2193a318e0c,135.47,6.92,42695,63902
501487b025f25ddf1ca32deb57a2b4db43ccf6635c1edc74b9cff54ce0e5bcfe,24.34,1.95,6041,9055
5162fd73cbe8f313d2b0e4180bab4cbe47185f73a3ffc3d1dcccc36bc2865142,88.75,11.66,93639,143060
516475caf3fbd1f0c0283572550528f1f9e7b502dce5fb6b89d40f366a150bfd,32.96,1.95,13176,19943
5226ea8e0f516565ba825a1bbed10020982c16414750237068b602c5b4ac6abd,272.34,29.52,168672,249186
556e060cd78b90e64550691f85253bb84323fe0c16c031d4dd22e4cd25d6a0a2,16.97,0.72,4809,7272
56ccc7562cea5da87146fcc74b158051bf4e52e5e163ad4e810a417726382975,9.7,0.31,580,874
56e63edb832fdf08d19ecfe2de1c7c6c6581cedd431215ded0c8e44ac9aed925,92.63,11.58,93639,143060
5874159ac61ab0349f29c8336c6d31d27c4df181318942ace320f4a6c6d24abe,49.95,3.23,20501,30808
58ad733b6abcf3793248cfb24aa8e75709b58982a11b86800a81f65287747f24,57.7,3.49,18907,28180
58e685695afc3a85d2632777a2b54967dc53d6a6fa1b7e2c110b2023b561bfe9,135.35,5.45,42359,63379
58ea56177cf0e8a863d6e9f11570a3e61239e21e1d0b5667537b7223d4131c42,227.46,23.78,189466,295289
593d89afb5fddfe947207dc69f93816c665e480ecd2a78c9eaab108b9799691e,13.61,0.76,3136,4514
5b358f7cb6c2f16badbb476f7fa7515d4c142a1c1c47e22ab058155aa3120ba1,47.43,2.15,13864,21676
5bd7bc629a9433583ca8e836776d3d7b0a14fb85ec17e5594ecc1f612bc1e9e6,21.07,0.89,6262,9299
5c54bd1aa2abf024f53490b7d93101496b5842a5a81a51955fe7f1d5e4281409,18.27,0.92,6371,9315
5d2597a8a8b8d4d0dfafef02b41d3746bb9a3ccfcacac9a0a8eaec237aa90c1d,48.17,2.59,13626,19109
5de1061457e759e022fbc9bb02e8726a49d3ed9663fc8a77d83462c69c96aea8,136.4,6.22,42695,63902
5edb68ebe00c4d4af8f9e3930ebe72959f9bb8800080ac91df0065eddbfebb4d,9.36,0.53,589,622
5fd227bbdfc25e646f3a7055fdf001a8d28a3207680b33facd6580f99c687f1f,18.68,0.65,4809,7272
5fdaa1e29c11eb6794cfa4912ebba34370c2e954054a7cc592c7247945939af6,84.06,8.76,71817,105893
616bd7939463bad6e1b9ac419bd9f100a4b77bd8c799c0986d1f247f452f8e08,18.24,0.66,4809,7272
61f7aa918b55238278a1666cb723df9e3639d229d1027611e02ae3808ede33ed,207.92,4.63,39301,60842
6316417fcd979c39a4da672ba3521f62081ff4dfebb868ef65a1f2dff9a738ea,48.75,2.12,13864,21676
650a03c40c45eef3590058c37de8ea2e978c9c69f289390b2ab89be3910549fb,8.76,0.22,160,241
65731c5e9dd98ef1556457d9af51d37aae22658a45c1b7add4590f6aa3bd6a96,25.72,1.84,9194,13667
6669cfeba5619b6f4d80b1281adfe69c87d845ebaaf9e83c25efa01a8267e751,101.45,11.64,95874,144464
6677e07bcccdeb28e532bb030f2ff2e4e39049caf6a1a0f9cd7f50e6d829daac,13.99,0.43,3136,4514
66dbf939c00b09d8d22c692864b68c4a602e7a59c4b925b2e2bef57b1ad047bd,298.5,27.96,166978,246530
66ee18b2f0f843af317e864b0787a6dacf891810bcf924cf3250f63efa005953,19.72,0.02,3,2
